# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://waterdata.usgs.gov/nwis/?provisional
#
# File-format description:  http://waterdata.usgs.gov/nwis/?tab_delimited_format_info
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2014-05-15 14:40:29 EDT       (caww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 03437500 SOUTH FORK LITTLE RIVER AT HOPKINSVILLE, KY
# -----------------------------------------------------------------------------------
#
# Data provided for site 03437500
#    DD parameter statistic   Description
#    02   00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output: 
#     A  Approved for publication -- Processing and review completed.  
# 
agency_cd	site_no	datetime	02_00060_00003	02_00060_00003_cd
5s	15s	20d	14n	10s
USGS	03437500	2012-10-01	63	A
USGS	03437500	2012-10-02	62	A
USGS	03437500	2012-10-03	16	A
USGS	03437500	2012-10-04	9.7	A
USGS	03437500	2012-10-05	6.6	A
USGS	03437500	2012-10-06	9.6	A
USGS	03437500	2012-10-07	7.6	A
USGS	03437500	2012-10-08	6.1	A
USGS	03437500	2012-10-09	4.5	A
USGS	03437500	2012-10-10	3.7	A
USGS	03437500	2012-10-11	3.7	A
USGS	03437500	2012-10-12	19	A
USGS	03437500	2012-10-13	7.1	A
USGS	03437500	2012-10-14	9.6	A
USGS	03437500	2012-10-15	7.4	A
USGS	03437500	2012-10-16	4.5	A
USGS	03437500	2012-10-17	5.2	A
USGS	03437500	2012-10-18	48	A
USGS	03437500	2012-10-19	22	A
USGS	03437500	2012-10-20	12	A
USGS	03437500	2012-10-21	9.0	A
USGS	03437500	2012-10-22	7.5	A
USGS	03437500	2012-10-23	8.1	A
USGS	03437500	2012-10-24	12	A
USGS	03437500	2012-10-25	5.7	A
USGS	03437500	2012-10-26	5.5	A
USGS	03437500	2012-10-27	7.0	A
USGS	03437500	2012-10-28	7.4	A
USGS	03437500	2012-10-29	6.6	A
USGS	03437500	2012-10-30	6.1	A
USGS	03437500	2012-10-31	5.9	A
USGS	03437500	2012-11-01	4.9	A
USGS	03437500	2012-11-02	4.0	A
USGS	03437500	2012-11-03	3.8	A
USGS	03437500	2012-11-04	3.9	A
USGS	03437500	2012-11-05	3.8	A
USGS	03437500	2012-11-06	5.1	A
USGS	03437500	2012-11-07	4.9	A
USGS	03437500	2012-11-08	4.2	A
USGS	03437500	2012-11-09	3.8	A
USGS	03437500	2012-11-10	6.4	A
USGS	03437500	2012-11-11	9.4	A
USGS	03437500	2012-11-12	16	A
USGS	03437500	2012-11-13	11	A
USGS	03437500	2012-11-14	10	A
USGS	03437500	2012-11-15	7.4	A
USGS	03437500	2012-11-16	6.4	A
USGS	03437500	2012-11-17	5.7	A
USGS	03437500	2012-11-18	7.2	A
USGS	03437500	2012-11-19	5.1	A
USGS	03437500	2012-11-20	4.9	A
USGS	03437500	2012-11-21	5.0	A
USGS	03437500	2012-11-22	4.6	A
USGS	03437500	2012-11-23	4.7	A
USGS	03437500	2012-11-24	4.6	A
USGS	03437500	2012-11-25	4.9	A
USGS	03437500	2012-11-26	6.4	A
USGS	03437500	2012-11-27	8.7	A
USGS	03437500	2012-11-28	6.9	A
USGS	03437500	2012-11-29	6.6	A
USGS	03437500	2012-11-30	7.4	A
USGS	03437500	2012-12-01	6.0	A
USGS	03437500	2012-12-02	5.6	A
USGS	03437500	2012-12-03	5.4	A
USGS	03437500	2012-12-04	6.4	A
USGS	03437500	2012-12-05	6.6	A
USGS	03437500	2012-12-06	6.2	A
USGS	03437500	2012-12-07	8.0	A
USGS	03437500	2012-12-08	8.8	A
USGS	03437500	2012-12-09	42	A
USGS	03437500	2012-12-10	222	A
USGS	03437500	2012-12-11	78	A
USGS	03437500	2012-12-12	47	A
USGS	03437500	2012-12-13	33	A
USGS	03437500	2012-12-14	27	A
USGS	03437500	2012-12-15	25	A
USGS	03437500	2012-12-16	22	A
USGS	03437500	2012-12-17	20	A
USGS	03437500	2012-12-18	18	A
USGS	03437500	2012-12-19	16	A
USGS	03437500	2012-12-20	51	A
USGS	03437500	2012-12-21	64	A
USGS	03437500	2012-12-22	33	A
USGS	03437500	2012-12-23	28	A
USGS	03437500	2012-12-24	25	A
USGS	03437500	2012-12-25	22	A
USGS	03437500	2012-12-26	322	A
USGS	03437500	2012-12-27	131	A
USGS	03437500	2012-12-28	89	A
USGS	03437500	2012-12-29	106	A
USGS	03437500	2012-12-30	79	A
USGS	03437500	2012-12-31	65	A
USGS	03437500	2013-01-01	69	A
USGS	03437500	2013-01-02	61	A
USGS	03437500	2013-01-03	50	A
USGS	03437500	2013-01-04	42	A
USGS	03437500	2013-01-05	37	A
USGS	03437500	2013-01-06	33	A
USGS	03437500	2013-01-07	28	A
USGS	03437500	2013-01-08	26	A
USGS	03437500	2013-01-09	24	A
USGS	03437500	2013-01-10	29	A
USGS	03437500	2013-01-11	238	A
USGS	03437500	2013-01-12	111	A
USGS	03437500	2013-01-13	1030	A
USGS	03437500	2013-01-14	750	A
USGS	03437500	2013-01-15	249	A
USGS	03437500	2013-01-16	179	A
USGS	03437500	2013-01-17	137	A
USGS	03437500	2013-01-18	109	A
USGS	03437500	2013-01-19	94	A
USGS	03437500	2013-01-20	80	A
USGS	03437500	2013-01-21	66	A
USGS	03437500	2013-01-22	56	A
USGS	03437500	2013-01-23	49	A
USGS	03437500	2013-01-24	42	A
USGS	03437500	2013-01-25	38	A
USGS	03437500	2013-01-26	35	A
USGS	03437500	2013-01-27	31	A
USGS	03437500	2013-01-28	36	A
USGS	03437500	2013-01-29	57	A
USGS	03437500	2013-01-30	566	A
USGS	03437500	2013-01-31	211	A
USGS	03437500	2013-02-01	133	A
USGS	03437500	2013-02-02	108	A
USGS	03437500	2013-02-03	92	A
USGS	03437500	2013-02-04	77	A
USGS	03437500	2013-02-05	68	A
USGS	03437500	2013-02-06	56	A
USGS	03437500	2013-02-07	49	A
USGS	03437500	2013-02-08	73	A
USGS	03437500	2013-02-09	60	A
USGS	03437500	2013-02-10	57	A
USGS	03437500	2013-02-11	81	A
USGS	03437500	2013-02-12	59	A
USGS	03437500	2013-02-13	54	A
USGS	03437500	2013-02-14	49	A
USGS	03437500	2013-02-15	42	A
USGS	03437500	2013-02-16	36	A
USGS	03437500	2013-02-17	33	A
USGS	03437500	2013-02-18	32	A
USGS	03437500	2013-02-19	46	A
USGS	03437500	2013-02-20	38	A
USGS	03437500	2013-02-21	58	A
USGS	03437500	2013-02-22	312	A
USGS	03437500	2013-02-23	124	A
USGS	03437500	2013-02-24	97	A
USGS	03437500	2013-02-25	81	A
USGS	03437500	2013-02-26	139	A
USGS	03437500	2013-02-27	137	A
USGS	03437500	2013-02-28	104	A
USGS	03437500	2013-03-01	91	A
USGS	03437500	2013-03-02	85	A
USGS	03437500	2013-03-03	76	A
USGS	03437500	2013-03-04	68	A
USGS	03437500	2013-03-05	93	A
USGS	03437500	2013-03-06	111	A
USGS	03437500	2013-03-07	82	A
USGS	03437500	2013-03-08	73	A
USGS	03437500	2013-03-09	67	A
USGS	03437500	2013-03-10	63	A
USGS	03437500	2013-03-11	1310	A
USGS	03437500	2013-03-12	340	A
USGS	03437500	2013-03-13	203	A
USGS	03437500	2013-03-14	149	A
USGS	03437500	2013-03-15	125	A
USGS	03437500	2013-03-16	108	A
USGS	03437500	2013-03-17	96	A
USGS	03437500	2013-03-18	643	A
USGS	03437500	2013-03-19	259	A
USGS	03437500	2013-03-20	163	A
USGS	03437500	2013-03-21	127	A
USGS	03437500	2013-03-22	106	A
USGS	03437500	2013-03-23	93	A
USGS	03437500	2013-03-24	101	A
USGS	03437500	2013-03-25	114	A
USGS	03437500	2013-03-26	86	A
USGS	03437500	2013-03-27	74	A
USGS	03437500	2013-03-28	67	A
USGS	03437500	2013-03-29	63	A
USGS	03437500	2013-03-30	74	A
USGS	03437500	2013-03-31	131	A
USGS	03437500	2013-04-01	94	A
USGS	03437500	2013-04-02	75	A
USGS	03437500	2013-04-03	65	A
USGS	03437500	2013-04-04	60	A
USGS	03437500	2013-04-05	58	A
USGS	03437500	2013-04-06	53	A
USGS	03437500	2013-04-07	48	A
USGS	03437500	2013-04-08	42	A
USGS	03437500	2013-04-09	37	A
USGS	03437500	2013-04-10	35	A
USGS	03437500	2013-04-11	304	A
USGS	03437500	2013-04-12	397	A
USGS	03437500	2013-04-13	159	A
USGS	03437500	2013-04-14	119	A
USGS	03437500	2013-04-15	98	A
USGS	03437500	2013-04-16	82	A
USGS	03437500	2013-04-17	74	A
USGS	03437500	2013-04-18	65	A
USGS	03437500	2013-04-19	464	A
USGS	03437500	2013-04-20	158	A
USGS	03437500	2013-04-21	112	A
USGS	03437500	2013-04-22	92	A
USGS	03437500	2013-04-23	77	A
USGS	03437500	2013-04-24	161	A
USGS	03437500	2013-04-25	110	A
USGS	03437500	2013-04-26	82	A
USGS	03437500	2013-04-27	375	A
USGS	03437500	2013-04-28	1470	A
USGS	03437500	2013-04-29	318	A
USGS	03437500	2013-04-30	206	A
USGS	03437500	2013-05-01	154	A
